Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,image,lat,lon,Class
Budget Host Badlands Motel,Interior, SD ,57750,21,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.72897718,-101.9788957,Economy Class
Badlands Inn,Interior, SD ,57750,18,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.73847239,-101.9620056,Economy Class
Americas Best Value Inn Kadoka,Kadoka, SD ,57543,30,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.83914253,-101.5246616,Economy Class
Lakota Lodge,Kadoka, SD ,57543,34,6.6,173 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/255697620.jpg?k=58dd411a9be05d0059c650e72bd006884db76b60a1a9ba9d13866857f60d9a00&o=,43.84298377,-101.5232668,Midscale Class
Budget Host Sundowner Motor Inn,Kadoka, SD ,57543,40,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.83712223,-101.5219662,Economy Class
West Motel,Kadoka, SD ,57543,16,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.83808184,-101.514338,Economy Class
Kadoka Inn,Kadoka, SD ,57543,39,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,NA, NA,Economy Class
Budget Host Kennebec,Kennebec, SD ,57544,16,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.8976643,-99.86443792,Economy Class
Baymont Inn & Suites Keystone Near Mt Rushmore,Keystone, SD ,57751,154,7.2,"1,611 reviews",https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.89441893,-103.4241736,Midscale Class
Super 8 Keystone Highway 16A,Keystone, SD ,57751,42,7.4,195 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88729971,-103.4270953,Economy Class
Quality Inn Keystone,Keystone, SD ,57751,56,7.6,358 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.89196041,-103.4271838,Midscale Class
Holiday Inn Express & Suites Mt Rushmore Keystone,Keystone, SD ,57751,62,8.4,213 reviews,,NA, NA,Upper Midscale Class
