Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,lat,lon,Class
Holiday Inn Express & Suites Mitchell,Mitchell, SD ,57301,82,8.9,172 reviews,43.68822625,-98.01383005,Upper Midscale Class
Ramada Mitchell Hotel & Conference Center,Mitchell, SD ,57301,122,6.6,704 reviews,43.70125453,-98.04567683,Midscale Class
Coach Light,Mitchell, SD ,57301,20,NA,NA,43.70242322,-98.03800637,Economy Class
Hampton Inn Mitchell,Mitchell, SD ,57301,75,9.4,16 reviews,43.69109241,-98.00805333,Upper Midscale Class
Corn Palace Motel,Mitchell, SD ,57301,36,NA,NA,43.69590599,-98.01761189,Economy Class
Corn Palace Inn,Mitchell, SD ,57301,77,NA,NA,43.70022926,-98.01895963,Midscale Class
Mo Rest Motel,Mobridge, SD ,57601,27,NA,NA,45.53788092,-100.4427699,Economy Class
Mobridge Kountry Inn,Mobridge, SD ,57601,30,NA,NA,45.54573197,-100.4520757,Economy Class
Wrangler Inn,Mobridge, SD ,57601,60,7.8,48 reviews,45.53813059,-100.4442679,Upper Midscale Class
Range Country Lodging,Murdo, SD ,57559,41,NA,NA,43.88732908,-100.7167704,Economy Class
Best Western Graham's,Murdo, SD ,57559,45,NA,NA,43.88611958,-100.7161537,Midscale Class
Super 8 Murdo,Murdo, SD ,57559,52,NA,NA,43.88474451,-100.7063833,Economy Class
Anchor Inn,Murdo, SD ,57559,29,NA,NA,43.88646357,-100.7123151,Economy Class
American Inn Express,Murdo, SD ,57559,21,NA,NA,43.88634167,-100.7093915,Economy Class
LandMark Country Inn,Murdo, SD ,57559,20,NA,NA,43.87639211,-100.708279,Economy Class
Sioux Motel,Murdo, SD ,57559,24,NA,NA,43.88683743,-100.7102442,Economy Class
Days Inn North Sioux City,North Sioux City, SD ,57049,49,NA,NA,42.52571502,-96.50094633,Economy Class
Super 8 North Sioux City ,North Sioux City, SD ,57049,44,NA,NA,42.52525261,-96.50264229,Economy Class
Hampton Inn North Sioux City,North Sioux City, SD ,57049,65,8.4,136 reviews,42.52416687,-96.50239617,Upper Midscale Class
Red Carpet Inn & Suites North Sioux City,North Sioux City, SD ,57049,33,6.4,93 reviews,42.5255085,-96.50201289,Economy Class
Baymont Inn & Suites Oacoma,Oacoma, SD ,57365,53,NA,NA,43.80340625,-99.3803996,Midscale Class
Econo Lodge Oacoma,Oacoma, SD ,57365,43,6.9,201 reviews,43.80309834,-99.39032842,Economy Class
Quality Inn Oacoma,Oacoma, SD ,57365,50,7.7,124 reviews,43.80318482,-99.39596523,Midscale Class
Howard Johnson Inn & Suites Oacoma,Oacoma, SD ,57365,50,8,608 reviews,43.80219202,-99.39283987,Economy Class
Cedar Shore Resort,Oacoma, SD ,57365,99,NA,NA,43.82930611,-99.34295967,Upscale Class
Dakota Horizinn,Parkston, SD ,57366,44,NA,NA,43.39596314,-97.99686662,Economy Class
Motel West,Philip, SD ,57567,20,NA,NA,44.04462811,-101.6600048,Economy Class
Fort Randall Casino & Hotel,Pickstown, SD ,57367,57,NA,NA,43.08306342,-98.47557706,Economy Class
Fort Randall Inn,Pickstown, SD ,57367,17,NA,NA,43.06874079,-98.53851266,Economy Class
Dakota Inn,Pickstown, SD ,57367,25,7.1,23 reviews,43.07060652,-98.53025267,Economy Class
Elk Creek Resort & Lodge,Piedmont, SD ,57769,22,NA,NA,44.22728151,-103.3546224,Economy Class
Clubhouse Inn Hotel & Suites Pierre,Pierre, SD ,57501,79,8.2,77 reviews,44.37253578,-100.3628918,Upper Upscale Class
Baymont Inn & Suites Pierre,Pierre, SD ,57501,47,NA,NA,44.37115533,-100.3623017,Midscale Class
Econo Lodge Pierre,Pierre, SD ,57501,56,NA,NA,44.36647766,-100.3519392,Economy Class
Pierre Inn & Suites,Pierre, SD ,57501,52,NA,NA,44.36900099,-100.3544926,Economy Class
Quality Inn Pierre,Pierre, SD ,57501,58,7.1,242 reviews,44.36954255,-100.358042,Midscale Class
Capitol Inn & Suites,Pierre, SD ,57501,142,NA,NA,44.36247208,-100.3408186,Economy Class
Governor's Inn,Pierre, SD ,57501,82,7.9,275 reviews,44.37150237,-100.3614928,Economy Class
Ramkota Hotel & Conference Center,Pierre, SD ,57501,151,7.3,92 reviews,44.37312054,-100.3642287,Upper Midscale Class
Days Inn Pierre,Pierre, SD ,57501,75,6.5,86 reviews,44.37075078,-100.35939,Economy Class
Terrace Motel,Pierre, SD ,57501,46,NA,NA,44.3701398,-100.349194,Economy Class
Super 8 Pierre,Pierre, SD ,57501,74,NA,NA,44.36912092,-100.3571425,Economy Class
Prairie Wind Casino & Hotel,Pine Ridge, SD ,57770,78,NA,NA,43.16211783,-102.9438525,Midscale Class
Rodeway Inn Plankinton,Plankinton, SD ,57368,33,NA,NA,43.70680181,-98.48680527,Economy Class
Dakota Country Inn,Platte, SD ,57369,30,8.9,30 reviews,43.38506993,-98.83288616,Economy Class
King's Inn,Platte, SD ,57369,46,NA,NA,43.38469152,-98.84072646,Economy Class
Hutchs Motel,Presho, SD ,57568,28,NA,NA,43.9024728,-100.053649,Economy Class
GrandStay Residential Suites Rapid City,Rapid City, SD ,57701,53,7.9,615 reviews,44.10820259,-103.225693,Upper Midscale Class
Holiday Inn Rapid City Rushmore Plaza,Rapid City, SD ,57701,205,NA,NA,44.08761345,-103.2230756,Upper Midscale Class
Tru by Hilton Rapid City Rushmore,Rapid City, SD ,57701,98,NA,NA,44.100136,-103.1986253,Midscale Class
MainStay Suites Rapid City,Rapid City, SD ,57701,97,8.1,129 reviews,44.1005864,-103.1610789,Midscale Class
Cambria hotel & suites Rapid City Near Mount Rushmore,Rapid City, SD ,57701,111,NA,NA,44.10037509,-103.1599502,Upscale Class
Hampton Inn Rapid City,Rapid City, SD ,57701,82,8,91 reviews,44.10230768,-103.2004618,Upper Midscale Class
Comfort Inn & Suites Rapid City,Rapid City, SD ,57701,82,7.9,480 reviews,44.05792784,-103.2340985,Upper Midscale Class
My Place Hotel Rapid City,Rapid City, SD ,57701,64,NA,NA,44.10155544,-103.1546699,Upper Midscale Class
Staybridge Suites Rapid City Rushmore,Rapid City, SD ,57701,102,NA,NA,44.0979544,-103.1950657,Upscale Class
Hampton Inn & Suites Rapid City Rushmore,Rapid City, SD ,57701,121,NA,NA,44.09988018,-103.1981034,Upper Midscale Class
Howard Johnson Rapid City,Rapid City, SD ,57701,98,NA,NA,44.09023634,-103.2305955,Economy Class
Hilton Garden Inn Rapid City,Rapid City, SD ,57701,120,8.8,110 reviews,44.10703255,-103.1978618,Upscale Class
Foothills Inn,Rapid City, SD ,57701,64,NA,NA,44.1011385,-103.2036407,Midscale Class
South Dakota Rose Inn,Rapid City, SD ,57701,65,NA,NA,44.08460271,-103.2132799,Economy Class
Time Inn Motel,Rapid City, SD ,57701,59,NA,NA,44.08728865,-103.2014106,Economy Class
Rodeway Inn Rapid City,Rapid City, SD ,57701,37,5.4,147 reviews,44.09857557,-103.2020794,Economy Class
